Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
MARYLAND,2017,29,,-,1,,10,,26,,40,,,-,0,,1,,,-,9,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2017,29,1,,4,,16,,75,,88,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2017,29,,-,3,,14,,64,,83,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2017,29,3,,1,,4,,42,,35,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2017,29,1,,7,,18,,182,,200,,,-,1,,13,,11,,104,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,29,1,,0,,1,,3,,5,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
COLORADO,2017,29,3,,3,,14,,76,,88,,,-,0,,2,,,-,12,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2017,29,,-,9,,31,,185,,247,,,-,0,,4,,2,,41,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
LOUISIANA,2017,29,,-,1,,7,,12,,56,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,29,,-,2,,23,,32,,55,,,-,0,,5,,1,,29,,,-,0,,1,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,29,,-,1,,7,,20,,37,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW ENGLAND,2017,29,2,,7,,24,,174,,181,,,-,0,,2,,,-,18,,,-,0,,0,,,-,,-,,
DELAWARE,2017,29,,-,0,,2,,2,,12,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
UTAH,2017,29,2,,2,,23,,61,,80,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
INDIANA,2017,29,,-,3,,10,,63,,112,,,-,0,,2,,,-,6,,,-,0,,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
HAWAII,2017,29,,-,0,,3,,2,,,-,,-,0,,1,,4,,53,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGIN ISL.,2017,29,,-,0,,0,,,-,,-,,-,0,,1,,1,,10,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MINNESOTA,2017,29,,-,0,,31,,,-,203,,,-,0,,2,,,-,16,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MOUNTAIN,2017,29,12,,12,,118,,308,,349,,,-,0,,3,,1,,37,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,29,4,,23,,76,,528,,732,,,-,1,,8,,7,,112,,,-,0,,0,,,-,1,,,
NORTH DAKOTA,2017,29,1,,0,,3,,24,,27,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK CITY,2017,29,3,,4,,12,,83,,58,,,-,0,,7,,4,,65,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,29,4,,9,,41,,197,,269,,,-,0,,2,,5,,8,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,29,18,,18,,73,,410,,404,,,-,1,,10,,10,,132,,,-,0,,1,,1,,3,,,
TENNESSEE,2017,29,1,,3,,10,,59,,69,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2017,29,4,,3,,82,,56,,31,,,-,0,,2,,,-,7,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
PACIFIC,2017,29,2,,13,,143,,348,,359,,,-,2,,13,,22,,180,,,-,0,,1,,,-,,-,,
NEW YORK,2017,29,10,,5,,25,,123,,109,,,-,0,,3,,2,,26,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NORTH CAROLINA,2017,29,,-,3,,17,,51,,121,,,-,0,,3,,,-,10,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WISCONSIN,2017,29,4,,11,,55,,228,,314,,,-,0,,1,,7,,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2017,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WYOMING,2017,39,,-,0,,3,,11,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",
PUERTO RICO,2017,39,,-,0,,0,,,-,1,,,-,0,,3,,9,,187,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2017,39,,-,5,,16,,210,,276,,,-,0,,2,,8,,34,,,-,0,,1,,3,,,-,"ILLINOIS
(40.124144, -89.148632)",
HAWAII,2017,39,,-,0,,3,,3,,5,,,-,0,,1,,6,,53,,,-,0,,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",
IOWA,2017,39,,-,9,,33,,367,,651,,,-,0,,1,,,-,12,,,-,0,,0,,,-,,-,"IOWA
(42.074659, -93.500061)",
ILLINOIS,2017,30,,-,5,,50,,127,,126,,,-,0,,4,,1,,20,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
AMER. SAMOA,2017,30,,N,0,,0,,,N,,N,,-,0,,4,,26,,,-,,-,0,,0,,,-,,-,,
GEORGIA,2017,30,5,,7,,22,,177,,153,,,-,0,,1,,2,,14,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MAINE,2017,30,,-,1,,5,,26,,23,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
W.N. CENTRAL,2017,30,14,,21,,137,,544,,976,,,-,0,,9,,3,,43,,,-,0,,0,,,-,,-,,
OREGON,2017,30,3,,4,,26,,119,,158,,,-,0,,1,,,-,10,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
DIST. OF COL.,2017,30,,-,0,,3,,4,,6,,,-,0,,1,,4,,12,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
S. ATLANTIC,2017,30,6,,23,,76,,557,,779,,,-,1,,8,,11,,116,,,-,0,,0,,,-,1,,,
TEXAS,2017,30,8,,14,,33,,265,,294,,,-,0,,3,,4,,18,,,-,0,,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2017,30,,-,0,,131,,45,,,-,,-,0,,2,,8,,12,,,-,0,,1,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2017,30,,-,0,,31,,,-,220,,,-,0,,2,,,-,17,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2017,30,4,,2,,60,,51,,88,,,-,0,,1,,1,,4,,,-,0,,1,,1,,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARIZONA,2017,30,3,,3,,82,,59,,39,,,-,0,,2,,,-,8,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2017,30,,-,0,,8,,21,,28,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW ENGLAND,2017,30,,-,7,,24,,177,,191,,,-,0,,2,,,-,19,,,-,0,,0,,,-,,-,,
ALASKA,2017,30,1,,0,,2,,5,,6,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,30,,-,1,,10,,26,,41,,,-,0,,1,,,-,9,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
VIRGIN ISL.,2017,30,,-,0,,0,,,-,,-,,-,0,,1,,1,,10,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MID. ATLANTIC,2017,30,27,,18,,73,,451,,432,,,-,1,,10,,11,,135,,,-,0,,1,,1,,3,,,
FLORIDA,2017,30,,-,9,,31,,192,,256,,,-,0,,4,,4,,43,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
PACIFIC,2017,30,7,,13,,143,,373,,377,,,-,1,,13,,23,,193,,,-,0,,1,,,-,1,,,
RHODE ISLAND,2017,30,,-,0,,2,,9,,6,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK CITY,2017,30,6,,4,,12,,89,,62,,,-,0,,5,,5,,66,,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,30,,-,0,,0,,,-,1,,,-,0,,6,,9,,177,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSOURI,2017,30,7,,5,,23,,132,,186,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2017,30,6,,4,,16,,82,,92,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2017,30,1,,3,,10,,70,,118,,,-,0,,1,,,-,6,,,-,0,,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
ARKANSAS,2017,30,4,,1,,4,,46,,36,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALABAMA,2017,30,,-,4,,25,,78,,110,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
GUAM,2017,30,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,30,,-,1,,6,,34,,28,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2017,30,,-,6,,25,,170,,202,,,-,0,,2,,2,,12,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2017,30,3,,7,,18,,202,,213,,,-,1,,13,,11,,117,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
IDAHO,2017,30,,-,1,,7,,41,,61,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
DELAWARE,2017,30,,-,0,,2,,2,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
E.N. CENTRAL,2017,30,15,,34,,301,,842,,1012,,,-,0,,8,,15,,49,,,-,0,,0,,,-,1,,,
COLORADO,2017,30,5,,3,,14,,81,,95,,,-,0,,2,,,-,12,,,-,0,,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
E.S. CENTRAL,2017,30,1,,8,,41,,202,,283,,,-,0,,2,,5,,8,,,-,0,,0,,,-,,-,,
C.N.M.I.,2017,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,30,,-,1,,11,,23,,17,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,30,,-,3,,17,,51,,137,,,-,0,,1,,,-,11,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2017,30,,-,1,,7,,26,,37,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PENNSYLVANIA,2017,30,9,,7,,27,,186,,193,,,-,0,,2,,3,,13,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
IOWA,2017,30,1,,9,,65,,201,,286,,,-,0,,5,,,-,12,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,30,1,,2,,7,,38,,72,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2017,30,1,,1,,6,,45,,40,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH DAKOTA,2017,30,,-,3,,7,,66,,97,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2017,30,,-,0,,2,,11,,7,,,-,0,,1,,,-,4,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2017,30,,-,0,,7,,4,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2017,30,1,,3,,15,,77,,113,,,-,0,,3,,1,,16,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2017,30,,-,1,,3,,26,,24,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2017,30,13,,11,,207,,237,,225,,,-,0,,2,,3,,6,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2017,30,,-,1,,7,,12,,60,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2017,30,1,,11,,55,,238,,341,,,-,0,,2,,9,,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2017,30,,-,2,,23,,41,,61,,,-,0,,5,,1,,29,,,-,0,,1,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2017,30,,-,2,,23,,60,,87,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2017,30,,-,2,,7,,38,,66,,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2017,30,12,,5,,25,,135,,116,,,-,0,,3,,2,,27,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2017,30,,-,3,,14,,64,,89,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
W.S. CENTRAL,2017,30,16,,18,,92,,374,,478,,,-,0,,5,,5,,28,,,-,0,,1,,1,,1,,,
TENNESSEE,2017,30,,-,3,,10,,60,,77,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2017,30,,-,0,,3,,2,,,-,,-,0,,1,,4,,53,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MOUNTAIN,2017,30,9,,12,,118,,326,,376,,,-,0,,3,,1,,39,,,-,0,,1,,1,,,-,,
NORTH DAKOTA,2017,30,,-,0,,3,,25,,29,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,30,,-,1,,8,,24,,49,,,-,0,,1,,,-,11,,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2017,30,,-,0,,3,,3,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
DIST. OF COL.,2017,31,,-,0,,3,,5,,6,,,-,0,,1,,4,,12,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2017,31,,-,5,,50,,135,,131,,,-,0,,4,,1,,20,,,-,0,,1,,2,,,-,"ILLINOIS
(40.477092, -88.993221)",
C.N.M.I.,2017,31,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WISCONSIN,2017,31,3,,11,,55,,264,,386,,,-,0,,2,,9,,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2017,31,,-,1,,3,,26,,25,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2017,31,5,,7,,27,,192,,205,,,-,0,,2,,3,,14,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2017,31,3,,2,,23,,65,,90,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MOUNTAIN,2017,31,14,,13,,118,,350,,428,,,-,0,,3,,2,,41,,,-,0,,1,,1,,,-,,
SOUTH DAKOTA,2017,31,,-,3,,7,,74,,103,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
W.N. CENTRAL,2017,31,14,,21,,137,,570,,1060,,,-,0,,3,,3,,45,,,-,0,,0,,,-,,-,,
OKLAHOMA,2017,31,7,,2,,60,,58,,96,,,-,0,,1,,1,,4,,,-,0,,1,,1,,,-,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,31,,-,0,,2,,5,,6,,1,,0,,2,,1,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH CAROLINA,2017,31,,-,1,,8,,24,,51,,,-,0,,1,,,-,12,,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2017,31,2,,4,,26,,122,,162,,,-,0,,1,,,-,10,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,31,,-,0,,31,,,-,242,,,-,0,,2,,,-,17,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
S. ATLANTIC,2017,31,10,,24,,76,,611,,836,,,-,1,,8,,12,,125,,,-,0,,0,,,-,1,,,
ALABAMA,2017,31,,-,4,,25,,78,,118,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2017,31,,-,10,,31,,226,,272,,,-,0,,4,,4,,47,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
OHIO,2017,31,24,,11,,207,,261,,268,,,-,0,,2,,3,,6,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
AMER. SAMOA,2017,31,,N,0,,0,,,N,,N,,-,0,,4,,26,,,-,,-,0,,0,,,-,,-,,
UNITED STATES,2017,31,127,,155,,757,,4136,,5340,,4,,5,,33,,86,,667,,,-,0,,1,,5,,7,,,
VIRGIN ISL.,2017,31,,-,0,,0,,,-,,-,,-,0,,1,,1,,9,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2017,31,1,,2,,5,,49,,37,,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2017,31,4,,2,,7,,43,,77,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,31,,-,0,,2,,11,,6,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2017,31,,-,0,,131,,45,,,-,,-,0,,2,,8,,12,,,-,0,,0,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
E.S. CENTRAL,2017,31,5,,8,,41,,211,,303,,,-,0,,2,,5,,9,,,-,0,,0,,,-,,-,,
DELAWARE,2017,31,,-,0,,2,,2,,12,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2017,31,7,,5,,23,,142,,199,,,-,0,,1,,,-,8,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2017,31,4,,3,,14,,85,,100,,,-,0,,2,,,-,12,,,-,0,,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,31,,-,1,,8,,23,,35,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2017,31,,-,0,,3,,25,,31,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2017,31,,-,3,,10,,76,,126,,,-,0,,1,,,-,6,,,-,0,,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
MID. ATLANTIC,2017,31,18,,18,,73,,472,,465,,1,,1,,10,,17,,143,,,-,0,,1,,1,,3,,,
GEORGIA,2017,31,7,,7,,22,,192,,170,,,-,0,,1,,2,,15,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
E.N. CENTRAL,2017,31,28,,34,,301,,915,,1138,,,-,0,,8,,15,,49,,,-,0,,1,,2,,1,,,
CONNECTICUT,2017,31,,-,1,,6,,34,,31,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PACIFIC,2017,31,6,,14,,143,,399,,395,,1,,1,,11,,25,,203,,,-,0,,0,,,-,1,,,
NEW YORK,2017,31,5,,5,,25,,141,,127,,1,,0,,3,,3,,27,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2017,31,,-,0,,3,,3,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
W.S. CENTRAL,2017,31,31,,18,,92,,414,,502,,2,,0,,5,,7,,28,,,-,0,,1,,1,,1,,,
HAWAII,2017,31,,-,0,,3,,2,,,-,,-,0,,1,,4,,53,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW YORK CITY,2017,31,7,,4,,12,,96,,67,,,-,0,,5,,10,,68,,,-,0,,0,,,-,,-,,
MICHIGAN,2017,31,1,,6,,25,,179,,227,,,-,0,,2,,2,,12,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2017,31,,-,2,,7,,38,,70,,,-,0,,1,,2,,4,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,31,1,,1,,5,,29,,26,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2017,31,4,,7,,18,,225,,227,,,-,1,,10,,12,,127,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,31,7,,4,,16,,90,,103,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MARYLAND,2017,31,,-,1,,10,,26,,42,,,-,0,,1,,,-,9,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,31,3,,3,,15,,80,,119,,,-,0,,3,,2,,17,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,31,23,,13,,33,,295,,307,,2,,0,,3,,6,,18,,,-,0,,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
NEW MEXICO,2017,31,1,,1,,7,,32,,37,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2017,31,1,,2,,23,,43,,66,,,-,0,,5,,1,,34,,,-,0,,1,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
MASSACHUSETTS,2017,31,,-,3,,14,,74,,98,,,-,0,,2,,,-,7,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2017,31,,-,1,,6,,45,,44,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,31,,-,3,,17,,51,,152,,,-,0,,1,,,-,11,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,31,,-,1,,11,,23,,17,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IDAHO,2017,31,1,,1,,7,,43,,66,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,31,,-,0,,7,,5,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW ENGLAND,2017,31,1,,7,,24,,194,,213,,,-,0,,2,,,-,21,,,-,0,,0,,,-,,-,,
GUAM,2017,31,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,31,5,,3,,82,,64,,72,,,-,0,,2,,1,,10,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2017,31,1,,3,,10,,64,,83,,,-,0,,2,,3,,6,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
PUERTO RICO,2017,31,,-,0,,0,,,-,1,,,-,0,,3,,9,,180,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2017,31,,-,0,,2,,13,,8,,,-,0,,1,,,-,4,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
IOWA,2017,31,,-,9,,65,,201,,312,,,-,0,,1,,,-,12,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2017,31,,-,1,,7,,12,,62,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
