Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
MISSOURI,2015,17,,-,3,,13,,18,,41,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
C.N.M.I.,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
NEW MEXICO,2015,17,,-,1,,7,,8,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
FLORIDA,2015,17,8,,18,,123,,180,,144,,,-,1,,5,,8,,19,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
SOUTH CAROLINA,2015,17,,-,1,,3,,16,,27,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
TENNESSEE,2015,17,5,,2,,12,,44,,28,,,-,0,,3,,7,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
COLORADO,2015,17,,-,1,,6,,3,,16,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"COLORADO
(38.843843, -106.133609)",
GUAM,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
W.N. CENTRAL,2015,17,2,,14,,39,,146,,191,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,,
MICHIGAN,2015,17,1,,4,,13,,51,,50,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
NEBRASKA,2015,17,1,,2,,9,,25,,22,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
ALASKA,2015,17,,-,0,,1,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.845078, -147.72206)",
MAINE,2015,17,,-,1,,5,,12,,18,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
TEXAS,2015,17,3,,7,,22,,63,,74,,,-,0,,3,,3,,8,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
NORTH CAROLINA,2015,17,,-,0,,42,,25,,54,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
IDAHO,2015,17,3,,1,,14,,17,,19,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
W.S. CENTRAL,2015,17,7,,14,,33,,132,,135,,,-,0,,4,,3,,9,,,-,0,,0,,,-,,-,,
RHODE ISLAND,2015,17,,-,0,,4,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
NEVADA,2015,17,,-,0,,2,,2,,5,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
VERMONT,2015,17,,-,0,,7,,8,,3,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.625384, -72.517637)",
WYOMING,2015,17,,-,0,,4,,,-,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
SOUTH DAKOTA,2015,17,,-,2,,9,,26,,25,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
MOUNTAIN,2015,17,4,,8,,23,,85,,109,,,-,0,,22,,,-,9,,,-,0,,0,,,-,,-,,
CONNECTICUT,2015,17,,-,1,,3,,8,,12,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
E.S. CENTRAL,2015,17,8,,9,,22,,151,,89,,,-,0,,3,,8,,1,,,-,0,,0,,,-,,-,,
PENNSYLVANIA,2015,17,2,,5,,17,,59,,87,,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
NEW JERSEY,2015,17,,-,0,,1,,2,,13,,,-,1,,6,,7,,4,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
WISCONSIN,2015,17,3,,8,,30,,99,,95,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
ARKANSAS,2015,17,,-,1,,12,,12,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
OHIO,2015,17,5,,5,,15,,85,,92,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
VIRGIN ISL.,2015,17,,-,0,,0,,,-,,-,,-,0,,3,,3,,5,,,-,0,,0,,,-,,-,VIRGIN ISL.,
PACIFIC,2015,17,2,,8,,27,,124,,123,,,-,2,,8,,11,,24,,,-,0,,0,,,-,,-,,
PUERTO RICO,2015,17,,N,0,,0,,,N,,N,,-,4,,13,,19,,322,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.248289, -66.49989)",
E.N. CENTRAL,2015,17,9,,22,,72,,304,,323,,,-,0,,4,,3,,9,,,-,0,,0,,,-,,-,,
HAWAII,2015,17,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"HAWAII
(21.304852, -157.857748)",
NEW YORK CITY,2015,17,1,,2,,7,,23,,21,,,-,1,,4,,11,,12,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
UNITED STATES,2015,17,48,,117,,341,,1493,,1565,,,-,11,,38,,72,,124,,,-,0,,0,,,-,,-,,
MINNESOTA,2015,17,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
NEW HAMPSHIRE,2015,17,,-,0,,3,,6,,8,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
MID. ATLANTIC,2015,17,5,,11,,36,,129,,164,,,-,3,,9,,24,,29,,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2015,17,,-,0,,2,,4,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
NEW ENGLAND,2015,17,,-,5,,17,,67,,78,,,-,0,,3,,4,,9,,,-,0,,0,,,-,,-,,
MONTANA,2015,17,,-,1,,5,,4,,10,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.066528, -109.424416)",
WASHINGTON,2015,17,,-,0,,23,,12,,9,,,-,0,,2,,4,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
DELAWARE,2015,17,,-,0,,1,,2,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
UTAH,2015,17,,-,2,,6,,40,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.360701, -111.587128)",
INDIANA,2015,17,,-,4,,11,,41,,37,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913, -86.149956)",
DIST. OF COL.,2015,17,,-,0,,1,,1,,2,,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
NEW YORK,2015,17,2,,4,,14,,45,,43,,,-,0,,2,,4,,10,,,-,0,,0,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
KANSAS,2015,17,1,,1,,5,,22,,20,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
ILLINOIS,2015,17,,-,2,,7,,28,,49,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
GEORGIA,2015,17,,-,4,,19,,77,,63,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
OKLAHOMA,2015,17,1,,1,,10,,10,,14,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
MASSACHUSETTS,2015,17,,-,3,,9,,31,,32,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
MISSISSIPPI,2015,17,,-,1,,6,,11,,16,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513, -89.538027)",
LOUISIANA,2015,17,3,,3,,17,,47,,41,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
OREGON,2015,17,2,,2,,7,,43,,31,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
S. ATLANTIC,2015,17,11,,32,,153,,355,,353,,,-,2,,7,,17,,33,,,-,0,,0,,,-,,-,,
VIRGINIA,2015,17,3,,2,,9,,33,,41,,,-,0,,3,,3,,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542681, -78.457889)",
MARYLAND,2015,17,,-,1,,5,,17,,18,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
CALIFORNIA,2015,17,,-,5,,15,,68,,81,,,-,2,,8,,7,,19,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
ARIZONA,2015,17,1,,1,,3,,11,,18,,,-,0,,22,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
AMER. SAMOA,2015,17,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
ALABAMA,2015,17,2,,3,,9,,76,,30,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
IOWA,2015,17,,-,4,,13,,50,,70,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
NORTH DAKOTA,2015,17,,-,1,,16,,5,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
KENTUCKY,2015,17,1,,1,,6,,20,,15,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
MAINE,2015,21,,-,1,,5,,13,,20,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
PUERTO RICO,2015,21,,N,0,,0,,,N,,N,,-,0,,5,,21,,338,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.248289, -66.49989)",
ILLINOIS,2015,21,,-,2,,7,,37,,72,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
PACIFIC,2015,21,7,,9,,20,,174,,215,,,-,0,,4,,29,,29,,,-,0,,0,,,-,,-,,
KANSAS,2015,21,,-,1,,5,,30,,23,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
TENNESSEE,2015,21,,-,2,,12,,51,,33,,,-,0,,3,,7,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
OHIO,2015,21,3,,5,,15,,100,,105,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
MISSOURI,2015,21,,-,3,,13,,18,,54,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
MONTANA,2015,21,2,,1,,5,,10,,17,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"MONTANA
(47.066528, -109.424416)",
ALABAMA,2015,21,,-,3,,9,,85,,40,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
ARKANSAS,2015,21,2,,1,,12,,17,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
NORTH CAROLINA,2015,21,,-,0,,42,,27,,55,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
OREGON,2015,21,4,,2,,6,,56,,49,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
DELAWARE,2015,21,,-,0,,1,,2,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
E.S. CENTRAL,2015,21,,-,9,,22,,176,,112,,,-,0,,3,,8,,1,,,-,0,,0,,,-,,-,,
NEW HAMPSHIRE,2015,21,,-,0,,3,,6,,12,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
WISCONSIN,2015,21,1,,8,,30,,119,,117,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
NEW YORK,2015,21,3,,3,,14,,53,,55,,,-,0,,0,,,-,10,,,-,0,,0,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
W.S. CENTRAL,2015,21,9,,12,,33,,174,,192,,,-,0,,1,,3,,9,,,-,0,,0,,,-,,-,,
VIRGINIA,2015,21,,-,2,,9,,39,,51,,,-,0,,1,,3,,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542681, -78.457889)",
SOUTH CAROLINA,2015,21,,-,1,,3,,17,,30,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
ARIZONA,2015,21,,-,1,,3,,18,,22,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
OKLAHOMA,2015,21,4,,1,,10,,16,,18,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
MARYLAND,2015,21,1,,1,,5,,19,,19,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
CALIFORNIA,2015,21,3,,6,,15,,99,,144,,,-,0,,4,,25,,23,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
MISSISSIPPI,2015,21,,-,1,,6,,12,,20,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513, -89.538027)",
NEBRASKA,2015,18,3,,2,,9,,28,,25,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
CALIFORNIA,2015,18,7,,5,,15,,75,,91,,,-,2,,8,,24,,20,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
ALASKA,2015,18,,-,0,,1,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.845078, -147.72206)",
NEW JERSEY,2015,18,,-,1,,6,,2,,19,,,-,1,,6,,7,,5,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
WISCONSIN,2015,18,1,,9,,30,,103,,99,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
MARYLAND,2015,18,,-,1,,5,,16,,19,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
GUAM,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
SOUTH CAROLINA,2015,18,,-,1,,3,,16,,28,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
NORTH CAROLINA,2015,18,,-,0,,42,,25,,54,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
WEST VIRGINIA,2015,18,,-,0,,2,,4,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
CONNECTICUT,2015,18,,-,1,,3,,10,,12,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
PACIFIC,2015,18,9,,8,,27,,135,,144,,,-,3,,8,,28,,25,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,18,2,,5,,17,,78,,83,,,-,0,,3,,4,,11,,,-,0,,0,,,-,,-,,
VIRGIN ISL.,2015,18,,-,0,,0,,,-,,-,,-,0,,3,,3,,5,,,-,0,,0,,,-,,-,VIRGIN ISL.,
ILLINOIS,2015,18,,-,2,,7,,31,,54,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
NEW MEXICO,2015,18,,-,1,,7,,8,,23,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
UNITED STATES,2015,18,62,,120,,352,,1590,,1739,,,-,11,,38,,90,,129,,,-,0,,0,,,-,,-,,
NEVADA,2015,18,,-,0,,2,,2,,6,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
WASHINGTON,2015,18,,-,0,,23,,12,,16,,,-,0,,2,,4,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
NORTH DAKOTA,2015,18,,-,1,,16,,5,,14,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
MASSACHUSETTS,2015,18,,-,3,,9,,37,,34,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
SOUTH DAKOTA,2015,18,1,,2,,9,,29,,26,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
VERMONT,2015,18,1,,0,,7,,10,,3,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.625384, -72.517637)",
MOUNTAIN,2015,18,4,,7,,23,,93,,121,,,-,0,,22,,,-,7,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,18,7,,14,,33,,140,,147,,,-,0,,4,,3,,9,,,-,0,,0,,,-,,-,,
C.N.M.I.,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
OREGON,2015,18,2,,2,,7,,47,,35,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
KENTUCKY,2015,18,,-,1,,6,,20,,17,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
IDAHO,2015,18,1,,1,,14,,18,,20,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
DIST. OF COL.,2015,18,,-,0,,1,,1,,2,,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
ARKANSAS,2015,18,1,,1,,12,,13,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
OKLAHOMA,2015,18,,-,1,,10,,10,,14,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
LOUISIANA,2015,18,,-,3,,17,,48,,48,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
MICHIGAN,2015,18,,-,4,,13,,53,,55,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
WYOMING,2015,18,,-,0,,4,,,-,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
GEORGIA,2015,18,7,,4,,19,,85,,65,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
NEW HAMPSHIRE,2015,18,,-,0,,3,,6,,10,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
UTAH,2015,18,2,,2,,6,,45,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.360701, -111.587128)",
ARIZONA,2015,18,1,,1,,3,,13,,18,,,-,0,,22,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
DELAWARE,2015,18,,-,0,,1,,2,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
PENNSYLVANIA,2015,18,3,,5,,17,,63,,94,,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
MISSISSIPPI,2015,18,,-,1,,6,,11,,18,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513, -89.538027)",
COLORADO,2015,18,,-,1,,6,,3,,18,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"COLORADO
(38.843843, -106.133609)",
E.S. CENTRAL,2015,18,2,,9,,22,,155,,97,,,-,0,,3,,8,,1,,,-,0,,0,,,-,,-,,
PUERTO RICO,2015,18,,N,0,,0,,,N,,N,,-,4,,13,,21,,324,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.248289, -66.49989)",
VIRGINIA,2015,18,1,,2,,9,,36,,44,,,-,0,,3,,3,,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542681, -78.457889)",
C.N.M.I.,2015,21,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
S. ATLANTIC,2015,18,18,,32,,152,,375,,366,,,-,2,,7,,18,,35,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2015,18,2,,2,,7,,25,,22,,,-,0,,4,,11,,13,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
INDIANA,2015,18,,-,4,,11,,44,,40,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913, -86.149956)",
MONTANA,2015,18,,-,1,,5,,4,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066528, -109.424416)",
E.N. CENTRAL,2015,18,9,,22,,72,,324,,343,,,-,0,,4,,3,,9,,,-,0,,0,,,-,,-,,
MAINE,2015,18,1,,1,,5,,13,,19,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
AMER. SAMOA,2015,18,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
IOWA,2015,18,,-,4,,13,,51,,72,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
ALABAMA,2015,18,,-,3,,9,,78,,33,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
KANSAS,2015,18,,-,1,,5,,24,,22,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
MINNESOTA,2015,18,,-,3,,17,,,-,52,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
TENNESSEE,2015,18,2,,2,,12,,46,,29,,,-,0,,3,,7,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
FLORIDA,2015,18,10,,18,,122,,190,,150,,,-,1,,5,,9,,20,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
RHODE ISLAND,2015,18,,-,0,,4,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
OHIO,2015,18,8,,5,,15,,93,,95,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
W.N. CENTRAL,2015,18,4,,14,,53,,155,,256,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,,
TEXAS,2015,18,6,,7,,22,,69,,79,,,-,0,,3,,3,,8,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
MID. ATLANTIC,2015,18,7,,11,,40,,135,,182,,,-,3,,9,,24,,31,,,-,0,,0,,,-,,-,,
MISSOURI,2015,18,,-,3,,13,,18,,45,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
HAWAII,2015,18,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"HAWAII
(21.304852, -157.857748)",
NEW YORK,2015,18,2,,3,,14,,45,,47,,,-,0,,2,,4,,10,,,-,0,,0,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
AMER. SAMOA,2015,21,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
MASSACHUSETTS,2015,21,1,,3,,9,,47,,36,,,-,0,,0,,,-,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
MID. ATLANTIC,2015,21,5,,11,,35,,159,,223,,,-,0,,3,,22,,35,,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2015,21,,-,0,,3,,5,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
NEBRASKA,2015,21,2,,2,,9,,33,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
NEW MEXICO,2015,21,,-,1,,7,,9,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
ALASKA,2015,21,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.845078, -147.72206)",
NEVADA,2015,21,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
MOUNTAIN,2015,21,3,,8,,23,,120,,148,,,-,0,,1,,1,,10,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,21,6,,22,,74,,371,,411,,,-,0,,2,,3,,10,,,-,0,,0,,,-,,-,,
WASHINGTON,2015,21,,-,0,,15,,17,,20,,,-,0,,1,,4,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
UTAH,2015,21,,-,2,,6,,52,,17,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.360701, -111.587128)",
